Team,Year,Conference,Subdivision
Arizona,1913, Independent,No Classification
Arizona St.,1913, Independent,No Classification
Arkansas,1913, Independent,No Classification
Arkansas St.,1913, Independent,No Classification
Army (NY),1913, Independent,No Classification
Auburn (AL),1913, Southern Intercollegiate Athletic Association,No Classification
Baylor (TX),1913, Texas Intercollegiate Athletic Association,No Classification
Boston College (MA),1913, Independent,No Classification
Buffalo (NY),1913, Independent,No Classification
Central Michigan,1913, Independent,No Classification
Cincinnati (OH),1913, Ohio Athletic Conference,No Classification
Clemson (SC),1913, Southern Intercollegiate Athletic Association,No Classification
Colorado,1913, Rocky Mountain Athletic Conference,No Classification
Colorado St.,1913, Rocky Mountain Athletic Conference,No Classification
Connecticut,1913, Independent,No Classification
Duke (NC),1913, Independent,No Classification
Eastern Michigan,1913, Michigan Intercollegiate Athletic Association,No Classification
Florida,1913, Southern Intercollegiate Athletic Association,No Classification
Georgia,1913, Southern Intercollegiate Athletic Association,No Classification
Georgia Tech,1913, Southern Intercollegiate Athletic Association,No Classification
Hawaii,1913, Independent,No Classification
Idaho,1913, Independent,No Classification
Idaho,1913, Pacific Northwest Intercollegiate Conference,No Classification
Illinois,1913, Big Ten Conference,No Classification
Indiana,1913, Big Ten Conference,No Classification
Iowa,1913, Big Ten Conference,No Classification
Iowa St.,1913, Missouri Valley Conference,No Classification
Kansas,1913, Missouri Valley Conference,No Classification
Kansas St.,1913, Missouri Valley Conference,No Classification
Kentucky,1913, Southern Intercollegiate Athletic Association,No Classification
Louisiana St.,1913, Southern Intercollegiate Athletic Association,No Classification
Louisiana Tech,1913, Independent,No Classification
Louisiana-Lafayette,1913, Independent,No Classification
Louisville (KY),1913, Independent,No Classification
Marshall (WV),1913, West Virginia Athletic Association,No Classification
Maryland,1913, Independent,No Classification
Massachusetts,1913, Independent,No Classification
Memphis (TN),1913, Independent,No Classification
Miami (OH),1913, Ohio Athletic Conference,No Classification
Michigan,1913, Independent,No Classification
Michigan St.,1913, Independent,No Classification
Middle Tennessee St.,1913, Independent,No Classification
Minnesota,1913, Big Ten Conference,No Classification
Mississippi,1913, Southern Intercollegiate Athletic Association,No Classification
Mississippi St.,1913, Southern Intercollegiate Athletic Association,No Classification
Missouri,1913, Missouri Valley Conference,No Classification
Navy (MD),1913, Independent,No Classification
Nebraska,1913, Missouri Valley Conference,No Classification
Nevada,1913, Independent,No Classification
New Mexico,1913, Independent,No Classification
New Mexico St.,1913, Independent,No Classification
North Carolina,1913, South Atlantic Intercollegiate Athletic Association,No Classification
North Carolina St.,1913, South Atlantic Intercollegiate Athletic Association,No Classification
North Texas,1913, Independent,No Classification
Northern Illinois,1913, Independent,No Classification
Northwestern (IL),1913, Big Ten Conference,No Classification
Notre Dame (IN),1913, Independent,No Classification
Ohio,1913, Ohio Athletic Conference,No Classification
Ohio St.,1913, Ohio Athletic Conference,No Classification
Ohio St.,1913, Big Ten Conference,No Classification
Oklahoma,1913, Independent,No Classification
Oklahoma St.,1913, Independent,No Classification
Oregon,1913, Pacific Northwest Intercollegiate Conference,No Classification
Oregon St.,1913, Pacific Northwest Intercollegiate Conference,No Classification
Penn St.,1913, Independent,No Classification
Pittsburgh (PA),1913, Independent,No Classification
Purdue (IN),1913, Big Ten Conference,No Classification
Rice (TX),1913, Texas Intercollegiate Athletic Association,No Classification
Rutgers (NJ),1913, Independent,No Classification
San Jose St. (CA),1913, Independent,No Classification
South Carolina,1913, Southern Intercollegiate Athletic Association,No Classification
Southern California,1913, Independent,No Classification
Southern Mississippi,1913, Independent,No Classification
Syracuse (NY),1913, Independent,No Classification
Temple (PA),1913, Independent,No Classification
Tennessee,1913, Southern Intercollegiate Athletic Association,No Classification
Texas,1913, Southern Intercollegiate Athletic Association,No Classification
Texas,1913, Texas Intercollegiate Athletic Association,No Classification
Texas A&M,1913, Southern Intercollegiate Athletic Association,No Classification
Texas A&M,1913, Texas Intercollegiate Athletic Association,No Classification
Texas Christian,1913, Independent,No Classification
Texas St.,1913, Independent,No Classification
Troy (AL),1913, Independent,No Classification
Tulane (LA),1913, Southern Intercollegiate Athletic Association,No Classification
Tulsa (OK),1913, Independent,No Classification
Utah,1913, Rocky Mountain Athletic Conference,No Classification
Utah St.,1913, Rocky Mountain Athletic Conference,No Classification
Vanderbilt (TN),1913, Southern Intercollegiate Athletic Association,No Classification
Virginia,1913, South Atlantic Intercollegiate Athletic Association,No Classification
Virginia Tech,1913, South Atlantic Intercollegiate Athletic Association,No Classification
Wake Forest (NC),1913, Independent,No Classification
Washington,1913, Independent,No Classification
Washington,1913, Pacific Northwest Intercollegiate Conference,No Classification
Washington St.,1913, Pacific Northwest Intercollegiate Conference,No Classification
West Virginia,1913, Independent,No Classification
Western Kentucky,1913, Independent,No Classification
Western Michigan,1913, Independent,No Classification
Wisconsin,1913, Big Ten Conference,No Classification
Wyoming,1913, Rocky Mountain Athletic Conference,No Classification
Akron (OH),1914, Independent,No Classification
Alabama,1914, Southern Intercollegiate Athletic Association,No Classification
Arizona,1914, Independent,No Classification
Arizona St.,1914, Independent,No Classification
Arkansas,1914, Independent,No Classification
Arkansas St.,1914, Independent,No Classification
Army (NY),1914, Independent,No Classification
Auburn (AL),1914, Southern Intercollegiate Athletic Association,No Classification
Baylor (TX),1914, Texas Intercollegiate Athletic Association,No Classification
Boston College (MA),1914, Independent,No Classification
Buffalo (NY),1914, Independent,No Classification
Central Michigan,1914, Independent,No Classification
Cincinnati (OH),1914, Ohio Athletic Conference,No Classification
Clemson (SC),1914, Southern Intercollegiate Athletic Association,No Classification
Colorado,1914, Rocky Mountain Athletic Conference,No Classification
Colorado St.,1914, Rocky Mountain Athletic Conference,No Classification
Connecticut,1914, Independent,No Classification
Duke (NC),1914, Independent,No Classification
Eastern Michigan,1914, Michigan Intercollegiate Athletic Association,No Classification
Florida,1914, Southern Intercollegiate Athletic Association,No Classification
Georgia,1914, Southern Intercollegiate Athletic Association,No Classification
Georgia Tech,1914, Southern Intercollegiate Athletic Association,No Classification
Hawaii,1914, Independent,No Classification
Idaho,1914, Pacific Northwest Intercollegiate Conference,No Classification
Illinois,1914, Big Ten Conference,No Classification
Indiana,1914, Big Ten Conference,No Classification
Iowa,1914, Big Ten Conference,No Classification
Iowa St.,1914, Missouri Valley Conference,No Classification
Kansas,1914, Missouri Valley Conference,No Classification
Kansas St.,1914, Missouri Valley Conference,No Classification
Kentucky,1914, Southern Intercollegiate Athletic Association,No Classification
Louisiana St.,1914, Southern Intercollegiate Athletic Association,No Classification
Louisiana Tech,1914, Independent,No Classification
Louisiana-Lafayette,1914, Louisiana Intercollegiate Athletic Association,No Classification
Louisville (KY),1914, Kentucky Intercollegiate Athletic Association,No Classification
Louisville (KY),1914, Southern Intercollegiate Athletic Association,No Classification
Marshall (WV),1914, West Virginia Athletic Association,No Classification
Maryland,1914, Independent,No Classification
Massachusetts,1914, Independent,No Classification
Memphis (TN),1914, Independent,No Classification
Miami (OH),1914, Ohio Athletic Conference,No Classification
Michigan,1914, Independent,No Classification
Michigan St.,1914, Independent,No Classification
Middle Tennessee St.,1914, Independent,No Classification
Minnesota,1914, Big Ten Conference,No Classification
Mississippi,1914, Southern Intercollegiate Athletic Association,No Classification
Mississippi St.,1914, Southern Intercollegiate Athletic Association,No Classification
Missouri,1914, Missouri Valley Conference,No Classification
Navy (MD),1914, Independent,No Classification
Nebraska,1914, Missouri Valley Conference,No Classification
Nevada,1914, Independent,No Classification
New Mexico,1914, Independent,No Classification
New Mexico St.,1914, Independent,No Classification
North Carolina,1914, South Atlantic Intercollegiate Athletic Association,No Classification
North Carolina St.,1914, South Atlantic Intercollegiate Athletic Association,No Classification
North Texas,1914, Independent,No Classification
Northern Illinois,1914, Independent,No Classification
Northwestern (IL),1914, Big Ten Conference,No Classification
Notre Dame (IN),1914, Independent,No Classification
Ohio,1914, Ohio Athletic Conference,No Classification
Ohio St.,1914, Ohio Athletic Conference,No Classification
Ohio St.,1914, Big Ten Conference,No Classification
Oklahoma,1914, Oklahoma Intercollegiate Conference (1914-1928),No Classification
Oklahoma St.,1914, Oklahoma Intercollegiate Conference (1914-1928),No Classification
Penn St.,1914, Independent,No Classification
Pittsburgh (PA),1914, Independent,No Classification
Purdue (IN),1914, Big Ten Conference,No Classification
Rice (TX),1914, Texas Intercollegiate Athletic Association,No Classification
Rutgers (NJ),1914, Independent,No Classification
San Jose St. (CA),1914, Independent,No Classification
South Carolina,1914, Southern Intercollegiate Athletic Association,No Classification
Southern California,1914, Independent,No Classification
Southern Mississippi,1914, Independent,No Classification
Syracuse (NY),1914, Independent,No Classification
Temple (PA),1914, Independent,No Classification
Tennessee,1914, Southern Intercollegiate Athletic Association,No Classification
Texas,1914, Southern Intercollegiate Athletic Association,No Classification
Texas,1914, Texas Intercollegiate Athletic Association,No Classification
Texas A&M,1914, Southern Intercollegiate Athletic Association,No Classification
Texas A&M,1914, Texas Intercollegiate Athletic Association,No Classification
Texas Christian,1914, Texas Intercollegiate Athletic Association,No Classification
Texas St.,1914, Independent,No Classification
Texas-El Paso,1914, Independent,No Classification
Troy (AL),1914, Independent,No Classification
Tulane (LA),1914, Southern Intercollegiate Athletic Association,No Classification
Tulsa (OK),1914, Oklahoma Intercollegiate Conference (1914-1928),No Classification
Utah,1914, Rocky Mountain Athletic Conference,No Classification
Utah St.,1914, Rocky Mountain Athletic Conference,No Classification
Vanderbilt (TN),1914, Southern Intercollegiate Athletic Association,No Classification
Virginia,1914, South Atlantic Intercollegiate Athletic Association,No Classification
Virginia Tech,1914, South Atlantic Intercollegiate Athletic Association,No Classification
Wake Forest (NC),1914, Independent,No Classification
Washington,1914, Independent,No Classification
West Virginia,1914, Independent,No Classification
Western Kentucky,1914, Independent,No Classification
Western Michigan,1914, Independent,No Classification
Wisconsin,1914, Big Ten Conference,No Classification
Wyoming,1914, Rocky Mountain Athletic Conference,No Classification
Akron (OH),1915, Ohio Athletic Conference,No Classification
Alabama,1915, Southern Intercollegiate Athletic Association,No Classification
Arizona,1915, Independent,No Classification
Arizona St.,1915, Independent,No Classification
Arkansas,1915, Southwest Conference,No Classification
Arkansas St.,1915, Independent,No Classification
Army (NY),1915, Independent,No Classification
Auburn (AL),1915, Southern Intercollegiate Athletic Association,No Classification
Baylor (TX),1915, Texas Intercollegiate Athletic Association,No Classification
Baylor (TX),1915, Southwest Conference,No Classification
Boston College (MA),1915, Independent,No Classification
Buffalo (NY),1915, Independent,No Classification
Central Michigan,1915, Independent,No Classification
Cincinnati (OH),1915, Ohio Athletic Conference,No Classification
Clemson (SC),1915, Southern Intercollegiate Athletic Association,No Classification
Colorado,1915, Rocky Mountain Athletic Conference,No Classification
Colorado St.,1915, Rocky Mountain Athletic Conference,No Classification
Connecticut,1915, Independent,No Classification
Duke (NC),1915, Independent,No Classification
Eastern Michigan,1915, Michigan Intercollegiate Athletic Association,No Classification
Florida,1915, Southern Intercollegiate Athletic Association,No Classification
Georgia,1915, Southern Intercollegiate Athletic Association,No Classification
Georgia Tech,1915, Southern Intercollegiate Athletic Association,No Classification
Hawaii,1915, Independent,No Classification
Idaho,1915, Pacific Northwest Intercollegiate Conference,No Classification
Illinois,1915, Big Ten Conference,No Classification
Indiana,1915, Big Ten Conference,No Classification
Iowa,1915, Big Ten Conference,No Classification
Iowa St.,1915, Missouri Valley Conference,No Classification
Kansas,1915, Missouri Valley Conference,No Classification
Kansas St.,1915, Missouri Valley Conference,No Classification
Kentucky,1915, Southern Intercollegiate Athletic Association,No Classification
Louisiana St.,1915, Southern Intercollegiate Athletic Association,No Classification
Louisiana Tech,1915, Louisiana Intercollegiate Athletic Association,No Classification
Louisiana-Lafayette,1915, Louisiana Intercollegiate Athletic Association,No Classification
Louisville (KY),1915, Kentucky Intercollegiate Athletic Association,No Classification
Louisville (KY),1915, Southern Intercollegiate Athletic Association,No Classification
Marshall (WV),1915, West Virginia Athletic Association,No Classification
Maryland,1915, Independent,No Classification
Massachusetts,1915, Independent,No Classification
Memphis (TN),1915, Independent,No Classification
Miami (OH),1915, Ohio Athletic Conference,No Classification
Michigan,1915, Independent,No Classification
Michigan St.,1915, Independent,No Classification
Middle Tennessee St.,1915, Independent,No Classification
Minnesota,1915, Big Ten Conference,No Classification
Mississippi,1915, Southern Intercollegiate Athletic Association,No Classification
Mississippi St.,1915, Southern Intercollegiate Athletic Association,No Classification
Missouri,1915, Missouri Valley Conference,No Classification
Navy (MD),1915, Independent,No Classification
Nebraska,1915, Missouri Valley Conference,No Classification
Nevada,1915, Independent,No Classification
New Mexico,1915, Independent,No Classification
New Mexico St.,1915, Independent,No Classification
North Carolina,1915, South Atlantic Intercollegiate Athletic Association,No Classification
North Carolina St.,1915, South Atlantic Intercollegiate Athletic Association,No Classification
North Texas,1915, Independent,No Classification
Northern Illinois,1915, Independent,No Classification
Northwestern (IL),1915, Big Ten Conference,No Classification
Notre Dame (IN),1915, Independent,No Classification
Ohio,1915, Ohio Athletic Conference,No Classification
Ohio St.,1915, Ohio Athletic Conference,No Classification
Ohio St.,1915, Big Ten Conference,No Classification
Oklahoma,1915, Oklahoma Intercollegiate Conference (1914-1928),No Classification
Oklahoma,1915, Southwest Conference,No Classification
Oklahoma St.,1915, Oklahoma Intercollegiate Conference (1914-1928),No Classification
Oklahoma St.,1915, Southwest Conference,No Classification
Penn St.,1915, Independent,No Classification
Pittsburgh (PA),1915, Independent,No Classification
Purdue (IN),1915, Big Ten Conference,No Classification
Rice (TX),1915, Texas Intercollegiate Athletic Association,No Classification
Rice (TX),1915, Southwest Conference,No Classification
Rutgers (NJ),1915, Independent,No Classification
San Jose St. (CA),1915, Independent,No Classification
South Carolina,1915, Southern Intercollegiate Athletic Association,No Classification
Southern California,1915, Independent,No Classification
Southern Methodist (TX),1915, Texas Intercollegiate Athletic Association,No Classification
Southern Mississippi,1915, Independent,No Classification
Syracuse (NY),1915, Independent,No Classification
Temple (PA),1915, Independent,No Classification
Tennessee,1915, Southern Intercollegiate Athletic Association,No Classification
Texas,1915, Southern Intercollegiate Athletic Association,No Classification
Texas,1915, Texas Intercollegiate Athletic Association,No Classification
Texas,1915, Southwest Conference,No Classification
Texas A&M,1915, Texas Intercollegiate Athletic Association,No Classification
Texas A&M,1915, Southwest Conference,No Classification
Texas Christian,1915, Texas Intercollegiate Athletic Association,No Classification
Texas St.,1915, Independent,No Classification
Texas-El Paso,1915, Independent,No Classification
Troy (AL),1915, Independent,No Classification
Tulane (LA),1915, Southern Intercollegiate Athletic Association,No Classification
Tulsa (OK),1915, Oklahoma Intercollegiate Conference (1914-1928),No Classification
Utah,1915, Rocky Mountain Athletic Conference,No Classification
Utah St.,1915, Rocky Mountain Athletic Conference,No Classification
Vanderbilt (TN),1915, Southern Intercollegiate Athletic Association,No Classification
Virginia,1915, South Atlantic Intercollegiate Athletic Association,No Classification
Virginia Tech,1915, South Atlantic Intercollegiate Athletic Association,No Classification
Wake Forest (NC),1915, Independent,No Classification
Washington,1915, Independent,No Classification
West Virginia,1915, Independent,No Classification
Western Kentucky,1915, Independent,No Classification
Western Michigan,1915, Independent,No Classification
Wisconsin,1915, Big Ten Conference,No Classification
Wyoming,1915, Rocky Mountain Athletic Conference,No Classification
Akron (OH),1916, Ohio Athletic Conference,No Classification
Alabama,1916, Southern Intercollegiate Athletic Association,No Classification
Arizona,1916, Independent,No Classification
Arizona St.,1916, Independent,No Classification
Arkansas,1916, Southwest Conference,No Classification
Arkansas St.,1916, Independent,No Classification
Army (NY),1916, Independent,No Classification
Auburn (AL),1916, Southern Intercollegiate Athletic Association,No Classification
Baylor (TX),1916, Texas Intercollegiate Athletic Association,No Classification
Baylor (TX),1916, Southwest Conference,No Classification
Boston College (MA),1916, Independent,No Classification
Buffalo (NY),1916, Independent,No Classification
California,1916, Pacific-12 Conference,No Classification
Central Michigan,1916, Independent,No Classification
Cincinnati (OH),1916, Ohio Athletic Conference,No Classification
Clemson (SC),1916, Southern Intercollegiate Athletic Association,No Classification
Colorado,1916, Rocky Mountain Athletic Conference,No Classification
Colorado St.,1916, Rocky Mountain Athletic Conference,No Classification
Connecticut,1916, Independent,No Classification
Duke (NC),1916, Independent,No Classification
Eastern Michigan,1916, Michigan Intercollegiate Athletic Association,No Classification
Florida,1916, Southern Intercollegiate Athletic Association,No Classification
Georgia,1916, Southern Intercollegiate Athletic Association,No Classification
Georgia Tech,1916, Southern Intercollegiate Athletic Association,No Classification
Hawaii,1916, Independent,No Classification
Idaho,1916, Pacific Northwest Intercollegiate Conference,No Classification
Illinois,1916, Big Ten Conference,No Classification
Indiana,1916, Big Ten Conference,No Classification
Iowa,1916, Big Ten Conference,No Classification
Iowa St.,1916, Missouri Valley Conference,No Classification
Kansas,1916, Missouri Valley Conference,No Classification
Kansas St.,1916, Missouri Valley Conference,No Classification
Kentucky,1916, Southern Intercollegiate Athletic Association,No Classification
Louisiana St.,1916, Southern Intercollegiate Athletic Association,No Classification
Louisiana Tech,1916, Louisiana Intercollegiate Athletic Association,No Classification
Louisiana-Lafayette,1916, Louisiana Intercollegiate Athletic Association,No Classification
Louisville (KY),1916, Kentucky Intercollegiate Athletic Association,No Classification
Louisville (KY),1916, Southern Intercollegiate Athletic Association,No Classification
Marshall (WV),1916, West Virginia Athletic Association,No Classification
Maryland,1916, Independent,No Classification
Massachusetts,1916, Independent,No Classification
Memphis (TN),1916, Independent,No Classification
Miami (OH),1916, Ohio Athletic Conference,No Classification
Michigan,1916, Independent,No Classification
Michigan St.,1916, Independent,No Classification
Middle Tennessee St.,1916, Independent,No Classification
Minnesota,1916, Big Ten Conference,No Classification
Mississippi,1916, Southern Intercollegiate Athletic Association,No Classification
Mississippi St.,1916, Southern Intercollegiate Athletic Association,No Classification
Missouri,1916, Missouri Valley Conference,No Classification
Navy (MD),1916, Independent,No Classification
Nebraska,1916, Missouri Valley Conference,No Classification
Nevada,1916, Independent,No Classification
New Mexico,1916, Independent,No Classification
New Mexico St.,1916, Independent,No Classification
North Carolina,1916, South Atlantic Intercollegiate Athletic Association,No Classification
North Carolina St.,1916, South Atlantic Intercollegiate Athletic Association,No Classification
North Texas,1916, Independent,No Classification
Northern Illinois,1916, Independent,No Classification
Northwestern (IL),1916, Big Ten Conference,No Classification
Notre Dame (IN),1916, Independent,No Classification
Ohio,1916, Ohio Athletic Conference,No Classification
Ohio St.,1916, Ohio Athletic Conference,No Classification
Ohio St.,1916, Big Ten Conference,No Classification
Oklahoma,1916, Oklahoma Intercollegiate Conference (1914-1928),No Classification
Oklahoma,1916, Southwest Conference,No Classification
Oklahoma St.,1916, Oklahoma Intercollegiate Conference (1914-1928),No Classification
Oklahoma St.,1916, Southwest Conference,No Classification
Oregon,1916, Pacific-12 Conference,No Classification
Oregon St.,1916, Pacific-12 Conference,No Classification
Penn St.,1916, Independent,No Classification
Pittsburgh (PA),1916, Independent,No Classification
Purdue (IN),1916, Big Ten Conference,No Classification
Rice (TX),1916, Texas Intercollegiate Athletic Association,No Classification
Rice (TX),1916, Southwest Conference,No Classification
Rutgers (NJ),1916, Independent,No Classification
San Jose St. (CA),1916, Independent,No Classification
South Carolina,1916, Southern Intercollegiate Athletic Association,No Classification
Southern California,1916, Pacific-12 Conference,No Classification
Southern Methodist (TX),1916, Texas Intercollegiate Athletic Association,No Classification
Southern Mississippi,1916, Independent,No Classification
Syracuse (NY),1916, Independent,No Classification
Temple (PA),1916, Independent,No Classification
Tennessee,1916, Southern Intercollegiate Athletic Association,No Classification
Texas,1916, Texas Intercollegiate Athletic Association,No Classification
Texas,1916, Southwest Conference,No Classification
Texas A&M,1916, Texas Intercollegiate Athletic Association,No Classification
Texas A&M,1916, Southwest Conference,No Classification
Texas Christian,1916, Texas Intercollegiate Athletic Association,No Classification
Texas St.,1916, Independent,No Classification
Texas-El Paso,1916, Independent,No Classification
Troy (AL),1916, Independent,No Classification
Tulane (LA),1916, Southern Intercollegiate Athletic Association,No Classification
Tulsa (OK),1916, Oklahoma Intercollegiate Conference (1914-1928),No Classification
Utah,1916, Rocky Mountain Athletic Conference,No Classification
Utah St.,1916, Rocky Mountain Athletic Conference,No Classification
Vanderbilt (TN),1916, Southern Intercollegiate Athletic Association,No Classification
Virginia,1916, South Atlantic Intercollegiate Athletic Association,No Classification
Virginia Tech,1916, South Atlantic Intercollegiate Athletic Association,No Classification
Wake Forest (NC),1916, Independent,No Classification
Washington,1916, Pacific-12 Conference,No Classification
West Virginia,1916, Independent,No Classification
Western Kentucky,1916, Independent,No Classification
Western Michigan,1916, Independent,No Classification
Wisconsin,1916, Big Ten Conference,No Classification
Wyoming,1916, Rocky Mountain Athletic Conference,No Classification
Akron (OH),1917, Ohio Athletic Conference,No Classification
Alabama,1917, Southern Intercollegiate Athletic Association,No Classification
Arizona,1917, Independent,No Classification
Arizona St.,1917, Independent,No Classification
Arkansas,1917, Southwest Conference,No Classification
Arkansas St.,1917, Independent,No Classification
Army (NY),1917, Independent,No Classification
Auburn (AL),1917, Southern Intercollegiate Athletic Association,No Classification
Baylor (TX),1917, Texas Intercollegiate Athletic Association,No Classification
Baylor (TX),1917, Southwest Conference,No Classification
Boston College (MA),1917, Independent,No Classification
Buffalo (NY),1917, Independent,No Classification
California,1917, Pacific-12 Conference,No Classification
Central Michigan,1917, Independent,No Classification
Cincinnati (OH),1917, Ohio Athletic Conference,No Classification
Clemson (SC),1917, Southern Intercollegiate Athletic Association,No Classification
Colorado,1917, Rocky Mountain Athletic Conference,No Classification
Colorado St.,1917, Rocky Mountain Athletic Conference,No Classification
Connecticut,1917, Independent,No Classification
Duke (NC),1917, Independent,No Classification
Eastern Michigan,1917, Michigan Intercollegiate Athletic Association,No Classification
Florida,1917, Southern Intercollegiate Athletic Association,No Classification
Georgia,1917, Southern Intercollegiate Athletic Association,No Classification
Georgia Tech,1917, Southern Intercollegiate Athletic Association,No Classification
Hawaii,1917, Independent,No Classification
Idaho,1917, Pacific Northwest Intercollegiate Conference,No Classification
Illinois,1917, Big Ten Conference,No Classification
Indiana,1917, Big Ten Conference,No Classification
Iowa,1917, Big Ten Conference,No Classification
Iowa St.,1917, Missouri Valley Conference,No Classification
Kansas,1917, Missouri Valley Conference,No Classification
Kansas St.,1917, Missouri Valley Conference,No Classification
Kentucky,1917, Southern Intercollegiate Athletic Association,No Classification
Louisiana St.,1917, Southern Intercollegiate Athletic Association,No Classification
Louisiana Tech,1917, Louisiana Intercollegiate Athletic Association,No Classification
Louisiana-Lafayette,1917, Louisiana Intercollegiate Athletic Association,No Classification
Louisville (KY),1917, Southern Intercollegiate Athletic Association,No Classification
Marshall (WV),1917, West Virginia Athletic Association,No Classification
Maryland,1917, Independent,No Classification
Massachusetts,1917, Independent,No Classification
Memphis (TN),1917, Independent,No Classification
Miami (OH),1917, Ohio Athletic Conference,No Classification
Michigan,1917, Big Ten Conference,No Classification
Michigan St.,1917, Independent,No Classification
Middle Tennessee St.,1917, Independent,No Classification
Minnesota,1917, Big Ten Conference,No Classification
Mississippi,1917, Southern Intercollegiate Athletic Association,No Classification
Mississippi St.,1917, Southern Intercollegiate Athletic Association,No Classification
Missouri,1917, Missouri Valley Conference,No Classification
Navy (MD),1917, Independent,No Classification
Nebraska,1917, Missouri Valley Conference,No Classification
Nevada,1917, Independent,No Classification
New Mexico,1917, Independent,No Classification
New Mexico St.,1917, Independent,No Classification
North Carolina,1917, South Atlantic Intercollegiate Athletic Association,No Classification
North Carolina St.,1917, South Atlantic Intercollegiate Athletic Association,No Classification
North Texas,1917, Independent,No Classification
Northern Illinois,1917, Independent,No Classification
Northwestern (IL),1917, Big Ten Conference,No Classification
Notre Dame (IN),1917, Independent,No Classification
Ohio,1917, Ohio Athletic Conference,No Classification
Ohio St.,1917, Ohio Athletic Conference,No Classification
Ohio St.,1917, Big Ten Conference,No Classification
Oklahoma,1917, Oklahoma Intercollegiate Conference (1914-1928),No Classification
Oklahoma,1917, Southwest Conference,No Classification
Oklahoma St.,1917, Oklahoma Intercollegiate Conference (1914-1928),No Classification
Oklahoma St.,1917, Southwest Conference,No Classification
Oregon,1917, Pacific-12 Conference,No Classification
Oregon St.,1917, Pacific-12 Conference,No Classification
Penn St.,1917, Independent,No Classification
Pittsburgh (PA),1917, Independent,No Classification
Purdue (IN),1917, Big Ten Conference,No Classification
Rice (TX),1917, Texas Intercollegiate Athletic Association,No Classification
Rice (TX),1917, Southwest Conference,No Classification
Rutgers (NJ),1917, Independent,No Classification
San Jose St. (CA),1917, Independent,No Classification
South Carolina,1917, Southern Intercollegiate Athletic Association,No Classification
Southern California,1917, Pacific-12 Conference,No Classification
Southern Methodist (TX),1917, Texas Intercollegiate Athletic Association,No Classification
Southern Mississippi,1917, Independent,No Classification
Syracuse (NY),1917, Independent,No Classification
Temple (PA),1917, Independent,No Classification
Tennessee,1917, Southern Intercollegiate Athletic Association,No Classification
Texas,1917, Texas Intercollegiate Athletic Association,No Classification
Texas,1917, Southwest Conference,No Classification
Texas A&M,1917, Texas Intercollegiate Athletic Association,No Classification
Texas A&M,1917, Southwest Conference,No Classification
Texas Christian,1917, Texas Intercollegiate Athletic Association,No Classification
Texas St.,1917, Independent,No Classification
Texas-El Paso,1917, Independent,No Classification
Toledo (OH),1917, Independent,No Classification
Troy (AL),1917, Independent,No Classification
Tulane (LA),1917, Southern Intercollegiate Athletic Association,No Classification
Tulsa (OK),1917, Oklahoma Intercollegiate Conference (1914-1928),No Classification
Utah,1917, Rocky Mountain Athletic Conference,No Classification
Utah St.,1917, Rocky Mountain Athletic Conference,No Classification
Vanderbilt (TN),1917, Southern Intercollegiate Athletic Association,No Classification
Virginia,1917, South Atlantic Intercollegiate Athletic Association,No Classification
Virginia Tech,1917, South Atlantic Intercollegiate Athletic Association,No Classification
Wake Forest (NC),1917, Independent,No Classification
Washington,1917, Pacific-12 Conference,No Classification
Washington St.,1917, Pacific-12 Conference,No Classification
West Virginia,1917, Independent,No Classification
Western Kentucky,1917, Independent,No Classification
Western Michigan,1917, Independent,No Classification
Wisconsin,1917, Big Ten Conference,No Classification
Wyoming,1917, Rocky Mountain Athletic Conference,No Classification
Akron (OH),1918, Ohio Athletic Conference,No Classification
Alabama,1918, Southern Intercollegiate Athletic Association,No Classification
Arizona,1918, Independent,No Classification
Arizona St.,1918, Independent,No Classification
Arkansas,1918, Southwest Conference,No Classification
Arkansas St.,1918, Independent,No Classification
Army (NY),1918, Independent,No Classification
Auburn (AL),1918, Southern Intercollegiate Athletic Association,No Classification
Baylor (TX),1918, Southwest Conference,No Classification
Boston College (MA),1918, Independent,No Classification
Buffalo (NY),1918, Independent,No Classification
California,1918, Pacific-12 Conference,No Classification
Central Michigan,1918, Independent,No Classification
Cincinnati (OH),1918, Ohio Athletic Conference,No Classification
Clemson (SC),1918, Southern Intercollegiate Athletic Association,No Classification
Colorado,1918, Rocky Mountain Athletic Conference,No Classification
Colorado St.,1918, Rocky Mountain Athletic Conference,No Classification
Connecticut,1918, Independent,No Classification
Duke (NC),1918, Independent,No Classification
Eastern Michigan,1918, Michigan Intercollegiate Athletic Association,No Classification
Florida,1918, Southern Intercollegiate Athletic Association,No Classification
Georgia,1918, Southern Intercollegiate Athletic Association,No Classification
Georgia Tech,1918, Southern Intercollegiate Athletic Association,No Classification
Hawaii,1918, Independent,No Classification
Idaho,1918, Pacific Northwest Intercollegiate Conference,No Classification
Illinois,1918, Big Ten Conference,No Classification
Indiana,1918, Big Ten Conference,No Classification
Iowa,1918, Big Ten Conference,No Classification
Iowa St.,1918, Missouri Valley Conference,No Classification
Kansas,1918, Missouri Valley Conference,No Classification
Kansas St.,1918, Missouri Valley Conference,No Classification
Kentucky,1918, Southern Intercollegiate Athletic Association,No Classification
Louisiana St.,1918, Southern Intercollegiate Athletic Association,No Classification
Louisiana Tech,1918, Louisiana Intercollegiate Athletic Association,No Classification
